Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
01/09/23,08:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,21.8,58.0
01/09/23,10:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,9.1,29.0
01/09/23,11:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,5.8,18.0
01/09/23,12:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,5.4,20.0
01/09/23,13:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,8.6,16.0
01/09/23,14:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,8.6,23.0
01/09/23,15:00,840060374009,Long Beach Signal Hi,-8,UG/M3,South Coast AQMD,7.1,10.0
