YearWeek,PM2.5,PM10
2021-51,,43.5
2022-1,,22.866666666666667
2022-10,14.7,21.0
2022-11,14.05,41.125
2022-12,14.078125,32.15625
2022-13,9.93125,24.1875
2022-14,12.545454545454545,34.81818181818182
2022-15,10.475,29.75
2022-16,6.69,17.3
2022-17,15.133333333333333,33.666666666666664
2022-18,16.714285714285715,30.714285714285715
2022-19,10.965,33.075
2022-2,,31.0
2022-20,9.473333333333333,20.766666666666666
2022-21,7.92,19.4
2022-22,11.425,29.0
2022-23,6.566666666666666,19.333333333333332
2022-3,,15.88888888888889
2022-33,8.5,19.0
2022-34,5.138709677419355,16.741935483870968
2022-35,8.04,26.68
2022-36,4.8,23.3
2022-37,6.327272727272727,22.454545454545453
2022-38,1.633333333333333,13.333333333333334
2022-39,6.5,24.4
2022-4,,25.0
2022-40,7.813513513513514,23.18918918918919
2022-41,8.399999999999999,23.0
2022-42,18.225,36.5
2022-43,12.909090909090908,39.63636363636363
2022-44,12.440000000000001,37.4
2022-45,7.85,15.0
2022-46,17.686363636363634,43.0
2022-47,21.994594594594595,42.351351351351354
2022-48,6.008333333333333,14.083333333333334
2022-49,4.15,7.75
2022-5,,47.0
2022-50,16.022222222222222,25.22222222222222
2022-6,16.46,44.294117647058826
2022-7,15.866666666666667,31.22222222222222
2022-8,10.6375,19.0
2022-9,13.5,18.6
2023-1,7.3999999999999995,17.0
2023-10,7.62,13.6
2023-11,4.66,9.4
2023-12,6.8375,7.0
2023-14,17.8,49.0
2023-15,10.711538461538462,19.423076923076923
2023-16,13.105555555555556,30.444444444444443
2023-17,14.03157894736842,22.63157894736842
2023-18,3.8444444444444446,3.2222222222222223
2023-19,5.433333333333333,12.0
2023-2,8.26153846153846,20.358974358974358
2023-21,4.923529411764706,8.588235294117647
2023-22,5.8625,10.923076923076923
2023-23,6.378571428571428,10.25
2023-24,3.95,10.5
2023-3,5.735483870967743,13.903225806451612
2023-33,7.633333333333334,15.777777777777779
2023-34,16.9,33.0
2023-35,11.066666666666668,22.0
2023-36,9.622727272727273,19.571428571428573
2023-37,10.92051282051282,22.897435897435898
2023-38,12.06111111111111,22.055555555555557
2023-39,15.6,22.0
2023-4,9.45,29.3
2023-41,3.5799999999999996,18.6
2023-42,10.813333333333333,28.6
2023-43,4.842499999999999,18.4
2023-44,16.02,48.4
2023-45,19.566666666666666,67.33333333333333
2023-46,20.266666666666666,40.833333333333336
2023-47,13.1,30.0
2023-48,8.440000000000001,21.4
2023-49,15.953571428571427,32.57142857142857
2023-5,18.05,42.25
2023-50,13.992857142857144,29.285714285714285
2023-51,7.9,19.846153846153847
2023-6,19.119999999999997,33.0
2023-7,10.625,27.25
2023-8,7.389473684210526,20.05263157894737
2023-9,7.28421052631579,8.736842105263158
2024-1,7.125,11.166666666666666
2024-10,5.243243243243243,13.54054054054054
2024-11,3.876923076923077,15.961538461538462
2024-12,14.4875,29.25
2024-14,5.4799999999999995,13.0
2024-15,13.988888888888889,24.22222222222222
2024-16,3.366666666666667,10.666666666666666
2024-17,5.456,17.52
2024-18,8.755555555555556,30.77777777777778
2024-19,7.808333333333334,22.5
2024-2,11.825000000000001,25.666666666666668
2024-20,4.2444444444444445,8.777777777777779
2024-21,9.866666666666667,27.0
2024-22,8.3,14.0
2024-23,7.475862068965518,14.592592592592593
2024-24,7.215000000000001,14.45
2024-3,20.456410256410255,29.58974358974359
2024-33,7.325,25.5
2024-36,7.772222222222222,25.0
2024-37,7.820000000000001,29.0
2024-38,5.338461538461538,19.666666666666668
2024-39,11.180769230769231,21.192307692307693
2024-4,5.535,13.175
2024-40,8.274999999999999,23.75
2024-41,17.563636363636363,29.0
2024-42,15.7,28.2
2024-43,4.466666666666667,12.333333333333334
2024-44,11.070588235294117,30.88235294117647
2024-45,12.53793103448276,36.93103448275862
2024-46,10.685714285714285,31.142857142857142
2024-47,16.4,32.375
2024-49,24.87142857142857,36.285714285714285
2024-5,11.0325,20.225
2024-50,19.885714285714283,45.785714285714285
2024-51,21.1325,36.25
2024-6,4.537837837837838,8.405405405405405
2024-7,15.581818181818182,25.318181818181817
2024-8,1.3384615384615386,9.384615384615385
2024-9,5.833333333333333,17.833333333333332
