Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
05/04/16,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,14.0,South Coast AQMD
05/04/16,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,41.0,South Coast AQMD
05/04/16,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,12.0,South Coast AQMD
05/04/16,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,38.0,South Coast AQMD
05/04/16,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,16.0,South Coast AQMD
05/04/16,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,36.0,South Coast AQMD
05/04/16,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,24.0,South Coast AQMD
05/04/16,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,39.0,South Coast AQMD
05/04/16,12:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,26.0,South Coast AQMD
05/04/16,12:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,51.0,South Coast AQMD
05/04/16,13:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,26.0,South Coast AQMD
05/04/16,13:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,58.0,South Coast AQMD
05/04/16,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,39.0,South Coast AQMD
05/04/16,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,55.0,South Coast AQMD
05/04/16,15:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,33.0,South Coast AQMD
05/04/16,15:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,65.0,South Coast AQMD
05/04/16,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,15.0,South Coast AQMD
05/04/16,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,22.0,South Coast AQMD
05/04/16,10:00,060374004,South Long Beach,-8,PM2.5,UG/M3,14.0,South Coast AQMD
05/04/16,11:00,060374004,South Long Beach,-8,PM2.5,UG/M3,13.0,South Coast AQMD
05/04/16,12:00,060374004,South Long Beach,-8,PM2.5,UG/M3,9.0,South Coast AQMD
05/04/16,13:00,060374004,South Long Beach,-8,PM2.5,UG/M3,16.0,South Coast AQMD
05/04/16,14:00,060374004,South Long Beach,-8,PM2.5,UG/M3,13.0,South Coast AQMD
05/04/16,15:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.0,South Coast AQMD
