Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
01/23/23,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,14.0,South Coast AQMD
01/23/23,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,4.1,South Coast AQMD
01/23/23,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,11.0,South Coast AQMD
01/23/23,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,4.8,South Coast AQMD
01/23/23,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,11.0,South Coast AQMD
01/23/23,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,3.4,South Coast AQMD
01/23/23,12:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,13.0,South Coast AQMD
01/23/23,12:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,5.8,South Coast AQMD
01/23/23,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,38.0,South Coast AQMD
01/23/23,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,8.4,South Coast AQMD
01/23/23,08:00,840060374009,Long Beach Signal Hi,-8,PM10,UG/M3,22.0,South Coast AQMD
01/23/23,08:00,840060374009,Long Beach Signal Hi,-8,PM2.5,UG/M3,13.4,South Coast AQMD
01/23/23,10:00,840060374009,Long Beach Signal Hi,-8,PM10,UG/M3,27.0,South Coast AQMD
01/23/23,10:00,840060374009,Long Beach Signal Hi,-8,PM2.5,UG/M3,6.3,South Coast AQMD
01/23/23,11:00,840060374009,Long Beach Signal Hi,-8,PM10,UG/M3,21.0,South Coast AQMD
01/23/23,11:00,840060374009,Long Beach Signal Hi,-8,PM2.5,UG/M3,4.6,South Coast AQMD
01/23/23,12:00,840060374009,Long Beach Signal Hi,-8,PM10,UG/M3,16.0,South Coast AQMD
01/23/23,12:00,840060374009,Long Beach Signal Hi,-8,PM2.5,UG/M3,2.4,South Coast AQMD
01/23/23,14:00,840060374009,Long Beach Signal Hi,-8,PM10,UG/M3,25.0,South Coast AQMD
01/23/23,14:00,840060374009,Long Beach Signal Hi,-8,PM2.5,UG/M3,5.8,South Coast AQMD
