Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
06/08/21,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,9.0,South Coast AQMD
06/08/21,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,5.0,South Coast AQMD
06/08/21,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,8.0,South Coast AQMD
06/08/21,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,12.0,South Coast AQMD
06/08/21,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,10.0,South Coast AQMD
06/08/21,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,9.0,South Coast AQMD
06/08/21,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,10.0,South Coast AQMD
06/08/21,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,6.0,South Coast AQMD
06/08/21,12:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,11.0,South Coast AQMD
06/08/21,12:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,9.0,South Coast AQMD
06/08/21,13:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,10.0,South Coast AQMD
06/08/21,13:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,5.0,South Coast AQMD
06/08/21,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,10.0,South Coast AQMD
06/08/21,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,4.0,South Coast AQMD
06/08/21,15:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,19.0,South Coast AQMD
06/08/21,15:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,10.0,South Coast AQMD
06/08/21,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,5.6,South Coast AQMD
06/08/21,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,7.1,South Coast AQMD
06/08/21,10:00,060374004,South Long Beach,-8,PM2.5,UG/M3,6.8,South Coast AQMD
06/08/21,11:00,060374004,South Long Beach,-8,PM2.5,UG/M3,6.6,South Coast AQMD
06/08/21,12:00,060374004,South Long Beach,-8,PM2.5,UG/M3,5.4,South Coast AQMD
06/08/21,13:00,060374004,South Long Beach,-8,PM2.5,UG/M3,6.8,South Coast AQMD
06/08/21,14:00,060374004,South Long Beach,-8,PM2.5,UG/M3,6.3,South Coast AQMD
06/08/21,15:00,060374004,South Long Beach,-8,PM2.5,UG/M3,4.6,South Coast AQMD
