Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
10/31/16,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,1.0,South Coast AQMD
10/31/16,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,2.0,South Coast AQMD
10/31/16,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,3.0,South Coast AQMD
10/31/16,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,10.0,South Coast AQMD
10/31/16,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,40.0,South Coast AQMD
10/31/16,15:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,10.0,South Coast AQMD
10/31/16,15:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,35.0,South Coast AQMD
10/31/16,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,2.0,South Coast AQMD
10/31/16,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,0.0,South Coast AQMD
10/31/16,14:00,060374004,South Long Beach,-8,PM2.5,UG/M3,6.0,South Coast AQMD
10/31/16,15:00,060374004,South Long Beach,-8,PM2.5,UG/M3,9.0,South Coast AQMD
