Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
05/01/18,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,34.0,South Coast AQMD
05/01/18,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,11.0,South Coast AQMD
05/01/18,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,42.0,South Coast AQMD
05/01/18,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,13.0,South Coast AQMD
05/01/18,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,30.0,South Coast AQMD
05/01/18,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,15.0,South Coast AQMD
05/01/18,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,36.0,South Coast AQMD
05/01/18,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,11.0,South Coast AQMD
05/01/18,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,39.0,South Coast AQMD
05/01/18,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,14.0,South Coast AQMD
05/01/18,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.1,South Coast AQMD
05/01/18,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.9,South Coast AQMD
05/01/18,10:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.7,South Coast AQMD
05/01/18,11:00,060374004,South Long Beach,-8,PM2.5,UG/M3,16.3,South Coast AQMD
05/01/18,14:00,060374004,South Long Beach,-8,PM2.5,UG/M3,13.1,South Coast AQMD
