Date,PM2.5,PM10
01/29/24,14.0,24.8125
01/30/14,42.125,58.75
01/30/15,9.0,16.571428571428573
01/30/17,16.433333333333334,
01/30/18,9.35,30.125
01/30/19,16.630000000000003,43.0
01/30/24,13.55,27.375
01/31/14,7.0,22.333333333333332
01/31/17,23.625,
01/31/18,16.1625,38.25
01/31/19,19.0125,49.0
01/31/24,15.58125,26.625
02/01/16,4.5,13.375
02/01/17,24.8,
02/01/18,23.48125,54.0
02/01/19,10.13125,17.75
02/01/21,10.75,14.333333333333334
02/01/24,5.075,6.6875
02/02/15,23.5,34.0
02/02/16,6.25,15.875
02/02/17,24.335714285714285,34.142857142857146
02/02/18,25.34375,62.375
02/02/21,13.35,41.0
02/02/23,11.25,43.0
02/02/24,7.13125,10.125
02/03/14,3.3333333333333335,11.666666666666666
02/03/15,25.625,45.5
02/03/16,11.625,29.375
02/03/20,2.5166666666666666,54.0
02/03/21,10.442857142857141,23.571428571428573
02/03/22,18.25,46.0
02/03/23,15.457142857142857,33.357142857142854
02/04/14,11.0,21.25
02/04/15,50.25,66.33333333333333
02/04/16,14.083333333333334,27.0
02/04/19,6.75625,12.0
02/04/20,7.7,37.0
02/05/14,8.571428571428571,27.428571428571427
02/05/15,43.0,93.4
02/05/16,13.0625,29.75
02/05/18,29.04375,53.5
02/05/19,3.54375,6.0
02/05/20,14.75,32.5
02/05/21,13.55,27.0
02/05/24,1.6625,1.375
02/06/14,20.625,38.375
02/06/17,2.4099999999999997,4.75
02/06/18,26.008333333333336,52.833333333333336
02/06/19,2.16,4.6
02/06/24,4.025,4.4375
02/07/14,23.125,29.0
02/07/17,5.4625,10.0
02/07/18,29.3875,49.0
02/07/19,7.75,18.0
02/07/22,15.016666666666666,33.166666666666664
02/07/24,9.2375,11.0625
02/08/16,17.4375,28.875
02/08/17,2.5,2.0
02/08/18,24.433333333333334,35.666666666666664
02/08/21,17.616666666666667,38.0
02/08/22,12.2875,35.5
02/08/24,5.1375,11.0625
02/09/15,3.0,7.0
02/09/16,10.285714285714286,30.75
02/09/17,10.666666666666666,20.0
02/09/18,12.35,34.0
02/09/22,16.11875,37.6875
02/09/23,15.24,30.3
02/09/24,4.1,10.2
02/10/15,9.5,32.0
02/10/16,8.846153846153847,26.25
02/10/17,9.433333333333334,11.333333333333334
02/10/21,21.15,47.0
02/10/22,13.982608695652175,35.625
02/11/15,13.5,28.0
02/11/16,15.875,33.375
02/11/21,21.9,42.25
02/11/22,17.452380952380953,49.0
02/12/14,13.375,33.625
02/12/15,13.23076923076923,21.833333333333332
02/12/16,19.142857142857142,47.0
02/12/18,11.575,30.0
02/12/21,14.46875,30.375
02/12/24,18.87857142857143,30.714285714285715
02/13/14,18.25,40.625
02/13/17,12.4,17.333333333333332
02/13/18,9.05,22.0
02/13/19,10.275,24.25
02/13/20,15.5,48.5
02/13/24,13.950000000000001,22.666666666666668
02/14/17,10.164285714285715,30.571428571428573
02/14/18,11.950000000000001,22.857142857142858
02/14/20,14.35,43.142857142857146
02/14/22,15.233333333333333,36.4
02/14/23,11.65,27.5
02/14/24,14.233333333333334,28.166666666666668
02/15/16,27.9375,37.375
02/15/17,15.13125,33.5
02/15/21,9.721428571428572,19.714285714285715
02/15/22,11.566666666666668,20.5
02/15/23,6.35,16.25
02/15/24,8.357142857142858,18.0
02/16/16,13.5625,32.125
02/16/17,14.05625,33.625
02/16/18,9.15,29.0
02/16/21,7.3,22.0
02/16/22,9.866666666666667,12.0
02/16/23,12.649999999999999,41.0
02/16/24,14.15,20.5
02/18/14,30.875,48.875
02/18/15,43.666666666666664,68.5
02/18/16,5.642857142857143,8.875
02/18/20,18.419999999999998,45.6
02/18/21,8.875,22.75
02/18/22,13.466666666666667,30.75
02/19/14,33.0,62.75
02/19/15,43.8125,65.0
02/19/16,10.285714285714286,31.25
02/19/18,5.970000000000001,25.2
02/19/20,25.214285714285715,46.42857142857143
02/19/21,12.616666666666667,26.666666666666668
02/19/24,3.6166666666666667,10.666666666666666
02/20/14,24.75,49.0
02/20/15,49.8125,75.375
02/20/17,5.175,18.0
02/20/18,4.925,15.0
02/20/20,20.675,42.625
02/20/24,1.6400000000000001,4.7
02/21/14,14.375,45.5
02/21/17,15.66875,19.125
02/21/18,8.75,24.5
02/21/20,21.1,37.5
02/21/22,13.28,24.1
02/21/24,2.2,2.5
02/22/16,18.727272727272727,39.42857142857143
02/22/17,7.38125,15.25
02/22/19,16.15,26.0
02/22/21,12.366666666666667,25.0
02/22/22,8.799999999999999,25.25
02/22/23,9.935714285714285,31.785714285714285
02/22/24,10.25,23.0
02/23/15,4.857142857142857,10.125
02/23/16,10.0,22.5
02/23/17,5.65625,9.375
02/23/18,7.166666666666667,22.0
02/23/21,12.2,27.0
02/23/22,5.133333333333334,8.0
02/23/23,5.0125,8.25
02/23/24,8.325,20.0
02/24/14,33.0,49.25
02/24/15,9.9375,21.0
02/24/16,10.5,28.857142857142858
02/24/17,11.54375,14.625
02/24/20,15.33125,32.5
02/24/21,11.24,35.2
02/24/23,5.98125,8.375
02/25/14,31.75,43.125
02/25/15,8.75,30.5
02/25/16,13.0625,29.0
