Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
01/30/18,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,40.0,South Coast AQMD
01/30/18,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,6.0,South Coast AQMD
01/30/18,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,24.0,South Coast AQMD
01/30/18,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,5.0,South Coast AQMD
01/30/18,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,20.0,South Coast AQMD
01/30/18,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,7.0,South Coast AQMD
01/30/18,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,26.0,South Coast AQMD
01/30/18,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,11.0,South Coast AQMD
01/30/18,12:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,33.0,South Coast AQMD
01/30/18,12:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,10.0,South Coast AQMD
01/30/18,13:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,21.0,South Coast AQMD
01/30/18,13:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,7.0,South Coast AQMD
01/30/18,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,35.0,South Coast AQMD
01/30/18,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,7.0,South Coast AQMD
01/30/18,15:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,42.0,South Coast AQMD
01/30/18,15:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,11.0,South Coast AQMD
01/30/18,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,10.9,South Coast AQMD
01/30/18,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.7,South Coast AQMD
01/30/18,10:00,060374004,South Long Beach,-8,PM2.5,UG/M3,17.1,South Coast AQMD
01/30/18,11:00,060374004,South Long Beach,-8,PM2.5,UG/M3,8.3,South Coast AQMD
01/30/18,12:00,060374004,South Long Beach,-8,PM2.5,UG/M3,10.3,South Coast AQMD
01/30/18,13:00,060374004,South Long Beach,-8,PM2.5,UG/M3,9.3,South Coast AQMD
01/30/18,14:00,060374004,South Long Beach,-8,PM2.5,UG/M3,6.8,South Coast AQMD
01/30/18,15:00,060374004,South Long Beach,-8,PM2.5,UG/M3,11.2,South Coast AQMD
