Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
01/07/20,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,18.0,South Coast AQMD
01/07/20,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,10.0,South Coast AQMD
01/07/20,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,16.0,South Coast AQMD
01/07/20,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,8.0,South Coast AQMD
01/07/20,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,14.0,South Coast AQMD
01/07/20,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,4.0,South Coast AQMD
01/07/20,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,17.0,South Coast AQMD
01/07/20,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,5.0,South Coast AQMD
01/07/20,12:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,15.0,South Coast AQMD
01/07/20,12:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,5.0,South Coast AQMD
01/07/20,13:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,18.0,South Coast AQMD
01/07/20,13:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,6.0,South Coast AQMD
01/07/20,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,28.0,South Coast AQMD
01/07/20,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,5.0,South Coast AQMD
01/07/20,15:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,30.0,South Coast AQMD
01/07/20,15:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,6.0,South Coast AQMD
01/07/20,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,10.7,South Coast AQMD
01/07/20,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,9.0,South Coast AQMD
01/07/20,10:00,060374004,South Long Beach,-8,PM2.5,UG/M3,7.1,South Coast AQMD
01/07/20,11:00,060374004,South Long Beach,-8,PM2.5,UG/M3,6.1,South Coast AQMD
01/07/20,12:00,060374004,South Long Beach,-8,PM2.5,UG/M3,5.9,South Coast AQMD
01/07/20,13:00,060374004,South Long Beach,-8,PM2.5,UG/M3,3.4,South Coast AQMD
01/07/20,14:00,060374004,South Long Beach,-8,PM2.5,UG/M3,8.1,South Coast AQMD
01/07/20,15:00,060374004,South Long Beach,-8,PM2.5,UG/M3,10.5,South Coast AQMD
