Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
08/25/15,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,24.0,44.0
08/25/15,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,24.0,41.0
08/25/15,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,24.0,43.0
08/25/15,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.0,38.0
08/25/15,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,32.0,32.0
08/25/15,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,24.0,42.0
08/25/15,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.0,41.0
08/25/15,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,33.0,42.0
