Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
01/05/19,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,31.0,56.0
01/05/19,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,27.0,55.0
01/05/19,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,29.0,51.0
01/05/19,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.0,44.0
01/05/19,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.0,40.0
01/05/19,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,21.0,50.0
01/05/19,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,27.0,54.0
01/05/19,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,30.0,56.0
