YearWeek,PM2.5,PM10
2014-1,29.147540983606557,49.87301587301587
2014-10,16.23404255319149,32.148936170212764
2014-11,17.3,41.3
2014-12,17.166666666666668,42.0
2014-13,13.714285714285714,29.214285714285715
2014-14,8.75,20.891304347826086
2014-15,21.625,35.8
2014-16,29.818181818181817,47.27272727272727
2014-17,12.263157894736842,23.0
2014-18,18.517857142857142,38.089285714285715
2014-19,16.107142857142858,33.214285714285715
2014-2,28.435897435897434,51.82051282051282
2014-20,14.76923076923077,37.92307692307692
2014-21,17.444444444444443,29.444444444444443
2014-22,27.818181818181817,37.666666666666664
2014-23,25.28205128205128,37.794871794871796
2014-24,24.714285714285715,35.5
2014-25,22.8,33.6
2014-26,25.22222222222222,31.25925925925926
2014-27,36.58536585365854,39.61904761904762
2014-28,21.391304347826086,25.043478260869566
2014-29,21.125,22.125
2014-3,15.0,36.93333333333333
2014-30,24.5,35.083333333333336
2014-31,23.454545454545453,30.295454545454547
2014-32,19.142857142857142,22.714285714285715
2014-33,21.4,24.8
2014-34,14.0,19.928571428571427
2014-35,20.27027027027027,36.270270270270274
2014-36,22.452380952380953,31.976190476190474
2014-37,27.5,47.125
2014-38,20.333333333333332,40.333333333333336
2014-39,16.310344827586206,32.37931034482759
2014-4,20.833333333333332,42.5
2014-40,20.257142857142856,39.542857142857144
2014-41,25.1,46.8
2014-42,29.0,43.857142857142854
2014-43,18.235294117647058,38.088235294117645
2014-44,14.340425531914894,35.4468085106383
2014-45,11.4,31.533333333333335
2014-46,11.166666666666666,23.583333333333332
2014-47,13.833333333333334,32.333333333333336
2014-48,14.405405405405405,31.16216216216216
2014-49,14.235294117647058,24.0
2014-5,19.62264150943396,36.16981132075472
2014-50,17.25,24.3
2014-51,15.0,28.0
2014-52,12.457142857142857,28.771428571428572
2014-6,12.814814814814815,22.666666666666668
2014-7,27.4,53.0
2014-8,22.0,47.333333333333336
2014-9,9.53125,19.40625
2015-1,31.235294117647058,55.529411764705884
2015-10,8.4,23.46153846153846
2015-11,15.555555555555555,33.55555555555556
2015-12,16.0,36.666666666666664
2015-13,13.956521739130435,30.73913043478261
2015-14,17.1,38.6
2015-15,14.933333333333334,22.466666666666665
2015-16,18.0,71.0
2015-17,12.11111111111111,20.74074074074074
2015-18,20.67391304347826,38.869565217391305
2015-19,16.0,21.5
2015-2,17.5625,29.75
2015-20,11.0,21.0
2015-21,6.75,26.5
2015-22,23.5531914893617,33.020833333333336
2015-23,19.583333333333332,30.333333333333332
2015-24,14.5,28.625
2015-26,20.977272727272727,36.43181818181818
2015-27,15.0,27.444444444444443
2015-28,13.666666666666666,27.444444444444443
2015-29,14.833333333333334,28.083333333333332
2015-3,27.0,37.0
2015-30,12.166666666666666,17.333333333333332
2015-31,22.5,33.5
2015-32,16.2,29.8
2015-33,22.166666666666668,60.666666666666664
2015-34,23.35,37.89473684210526
2015-35,23.515151515151516,42.23529411764706
2015-36,13.11111111111111,32.0
2015-37,16.133333333333333,36.46666666666667
2015-38,16.266666666666666,32.93333333333333
2015-39,19.527272727272727,38.836363636363636
2015-4,30.736842105263158,49.05263157894737
2015-40,15.304347826086957,35.5
2015-41,21.77777777777778,41.22222222222222
2015-42,14.5,19.0
2015-43,13.743589743589743,32.69230769230769
2015-44,15.571428571428571,46.689655172413794
2015-45,8.571428571428571,28.642857142857142
2015-46,7.0,47.5
2015-47,,42.0
2015-48,,26.717391304347824
2015-49,,30.083333333333332
2015-5,11.76086956521739,25.17391304347826
2015-50,,28.857142857142858
2015-51,,24.5
2015-52,,24.754716981132077
2015-53,,32.5625
2015-6,15.833333333333334,33.833333333333336
2015-7,11.454545454545455,27.272727272727273
2015-8,43.0,60.5
2015-9,9.358490566037736,24.59259259259259
2016-1,,18.4
2016-10,7.0,23.666666666666668
2016-11,32.27777777777778,50.72222222222222
2016-12,15.2,35.6
2016-13,13.058823529411764,36.0
2016-14,13.588235294117647,34.588235294117645
2016-15,9.4,29.4
2016-16,10.4,34.17777777777778
2016-17,11.1,37.25
2016-18,10.666666666666666,27.416666666666668
2016-19,16.833333333333332,29.5
2016-2,24.666666666666668,37.25
2016-20,11.170731707317072,25.853658536585368
2016-21,7.852941176470588,22.264705882352942
2016-22,38.0,48.54545454545455
2016-23,10.333333333333334,26.666666666666668
2016-24,14.545454545454545,38.31818181818182
2016-25,21.305555555555557,41.611111111111114
2016-26,21.23076923076923,35.53846153846154
2016-27,9.777777777777779,16.333333333333332
2016-28,9.9,20.8
2016-29,13.4375,38.729166666666664
2016-3,17.32,32.98
2016-30,14.25,30.75
2016-31,9.9,20.666666666666668
2016-32,15.692307692307692,29.846153846153847
2016-33,11.0,25.91891891891892
2016-34,15.777777777777779,37.7037037037037
2016-35,20.125,43.0
2016-36,17.0,42.0
2016-37,15.681818181818182,40.35
2016-38,15.903225806451612,38.41935483870968
2016-39,13.181818181818182,40.63636363636363
2016-4,8.75,28.28125
2016-40,11.333333333333334,45.0
2016-41,8.75,18.0625
2016-42,10.024390243902438,31.609756097560975
2016-43,9.777777777777779,22.22222222222222
2016-44,12.5,33.833333333333336
2016-45,13.714285714285714,35.714285714285715
2016-46,15.911111111111111,50.6
2016-47,9.210526315789474,24.2
2016-48,14.625,37.125
2016-49,20.5,39.0
2016-5,8.75,27.5
2016-50,17.536585365853657,30.58823529411765
2016-51,8.757575757575758,30.9
2016-52,8.6,20.666666666666668
2016-53,,40.333333333333336
2016-7,13.941176470588236,32.705882352941174
2016-8,13.95,32.825
2016-9,12.714285714285714,26.642857142857142
2017-1,1.0,
