Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
09/02/19,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,19.0,23.0
09/02/19,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.0,29.0
09/02/19,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.0,29.0
09/02/19,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,,30.0
09/02/19,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,,29.0
09/02/19,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,,28.0
09/02/19,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,,35.0
09/02/19,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,,34.0
