Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
03/08/19,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,12.0
03/08/19,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.0,9.0
03/08/19,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,7.0
03/08/19,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,9.0
03/08/19,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.0,12.0
03/08/19,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.0,16.0
