YearMonth,PM2.5,PM10
2014-1,27.405594405594407,49.48251748251748
2014-10,19.884615384615383,42.09615384615385
2014-11,12.108433734939759,27.63855421686747
2014-12,14.804878048780488,28.88372093023256
2014-2,13.592105263157896,26.8
2014-3,14.69158878504673,31.69158878504673
2014-4,14.816326530612244,27.84536082474227
2014-5,20.779661016949152,36.88235294117647
2014-6,24.97029702970297,34.64356435643565
2014-7,27.649484536082475,33.42857142857143
2014-8,20.533333333333335,28.580952380952382
2014-9,20.428571428571427,33.98979591836735
2015-1,19.9375,36.0
2015-10,14.976190476190476,37.6
2015-11,9.588235294117647,32.333333333333336
2015-12,,26.914893617021278
2015-2,13.915492957746478,30.75
2015-3,11.117647058823529,26.08695652173913
2015-4,15.473118279569892,30.333333333333332
2015-5,21.075949367088608,33.6875
2015-6,19.529411764705884,34.13235294117647
2015-7,13.48,22.44
2015-8,21.8,39.9125
2015-9,17.8,37.18627450980392
2016-1,14.352941176470589,30.383838383838384
2016-10,10.243589743589743,29.166666666666668
2016-11,13.698795180722891,41.81012658227848
2016-12,13.35483870967742,30.68354430379747
2016-2,14.045977011494253,33.275862068965516
2016-3,17.315068493150687,35.205479452054796
2016-4,11.645833333333334,35.552083333333336
2016-5,10.542553191489361,25.24468085106383
2016-6,21.44871794871795,40.65384615384615
2016-7,12.938271604938272,32.79012345679013
2016-8,13.057471264367816,29.662790697674417
2016-9,16.076923076923077,39.890625
2017-1,12.917808219178083,23.544117647058822
2017-10,20.885057471264368,51.28735632183908
2017-11,21.761904761904763,39.214285714285715
2017-12,23.32857142857143,54.15492957746479
2017-2,9.710144927536232,22.666666666666668
2017-3,20.028169014084508,35.57746478873239
2017-4,12.157303370786517,27.392857142857142
2017-5,15.36231884057971,33.28169014084507
2017-6,22.85909090909091,47.0
2017-7,18.121951219512194,30.28048780487805
2017-8,19.151898734177216,32.40506329113924
2017-9,15.734177215189874,30.4
2018-1,20.36904761904762,38.464285714285715
2018-10,13.291666666666666,30.1875
2018-11,18.11764705882353,39.6764705882353
2018-12,12.527777777777779,27.36111111111111
2018-2,16.055555555555557,34.986111111111114
2018-3,13.480519480519481,21.441558441558442
2018-4,16.11904761904762,37.273809523809526
2018-5,13.917808219178083,27.680555555555557
2018-6,17.467391304347824,37.358695652173914
2018-7,17.406779661016948,36.71186440677966
2018-8,17.0,32.78378378378378
2018-9,17.28205128205128,33.55555555555556
2019-1,13.793103448275861,27.137931034482758
2019-10,14.046511627906977,37.74418604651163
2019-11,15.0,34.829268292682926
2019-12,8.957446808510639,19.340425531914892
2019-2,6.025,13.1
2019-3,6.896551724137931,18.0
2019-4,11.15,23.95
2019-5,11.676470588235293,23.352941176470587
2019-6,16.125,25.4
2019-7,19.4,34.1
2019-8,15.5,30.9
2019-9,15.310344827586206,33.6764705882353
2020-1,15.673913043478262,37.630434782608695
2020-10,21.535353535353536,47.535353535353536
2020-11,17.83177570093458,40.401869158878505
2020-12,12.68,31.88976377952756
2020-2,10.513513513513514,33.972972972972975
2020-3,8.958333333333334,21.666666666666668
2020-4,14.390243902439025,29.341463414634145
2020-5,10.4,24.5
2020-6,8.622222222222222,18.47826086956522
2020-7,34.351851851851855,50.111111111111114
2020-8,14.60377358490566,31.433962264150942
2020-9,21.79032258064516,41.774193548387096
2021-1,12.390625,23.241935483870968
2021-10,12.365853658536585,28.857142857142858
2021-11,33.666666666666664,50.333333333333336
2021-12,17.86,32.270833333333336
2021-2,13.89090909090909,31.78181818181818
2021-3,9.745762711864407,24.233333333333334
2021-4,13.744186046511627,27.046511627906977
2021-5,17.363636363636363,30.84090909090909
2021-6,13.78,21.784313725490197
2021-7,20.805555555555557,32.388888888888886
2021-8,15.953488372093023,27.697674418604652
2021-9,14.2,29.525
2022-1,11.142857142857142,25.46
2022-10,10.925352112676057,23.56338028169014
2022-11,12.17375,28.45679012345679
2022-12,12.285714285714286,23.38095238095238
2022-2,9.0,27.973684210526315
2022-3,10.396153846153847,24.333333333333332
2022-4,10.203846153846154,22.596153846153847
2022-5,16.05,32.3421052631579
2022-6,14.640476190476189,30.19047619047619
2022-7,13.523809523809524,24.11904761904762
2022-8,11.235416666666666,26.416666666666668
2022-9,12.053932584269662,28.066666666666666
2023-1,7.437209302325582,16.27906976744186
2023-10,13.444594594594594,33.5945945945946
2023-11,10.14367816091954,27.04597701149425
2023-12,14.25925925925926,29.395061728395063
2023-2,9.988095238095237,21.654761904761905
2023-3,10.12205882352941,14.588235294117647
2023-4,16.810526315789474,26.67105263157895
2023-5,16.333333333333332,24.746987951807228
2023-6,10.661904761904761,17.675324675324674
2023-7,14.659210526315789,25.19736842105263
2023-8,9.103846153846154,20.141025641025642
2023-9,13.131578947368421,28.283783783783782
2024-1,12.898850574712645,19.632183908045977
2024-10,19.1890243902439,32.073170731707314
2024-11,13.455696202531646,28.544303797468356
2024-12,22.917777777777776,36.13333333333333
2024-2,8.196,14.96
2024-3,9.087931034482759,19.5
2024-4,11.877551020408163,19.081632653061224
2024-5,13.435714285714285,22.952380952380953
2024-6,15.076,21.69333333333333
2024-7,13.529487179487178,21.102564102564102
2024-8,14.090540540540541,27.573333333333334
2024-9,15.42876712328767,35.78082191780822
