YearMonth,PM2.5,PM10
2015-1,19.646341463414632,
2015-10,11.028169014084508,
2015-11,12.55,
2015-12,17.066666666666666,
2015-2,22.722772277227723,
2015-3,15.015384615384615,
2015-4,12.309859154929578,
2015-5,10.293478260869565,
2015-6,10.5,
2015-8,17.704918032786885,
2015-9,10.052980132450331,
2016-1,15.852459016393443,
2016-10,9.4296875,
2016-11,13.742156862745098,
2016-12,19.856338028169013,
2016-2,17.028985507246375,
2016-3,10.375,
2016-4,12.238095238095237,
2016-5,9.35135135135135,
2016-8,10.974358974358974,
2016-9,10.726315789473684,
2017-1,13.893333333333334,
2017-10,17.286363636363635,
2017-11,12.771698113207547,
2017-12,20.33425925925926,
2017-2,11.186666666666666,
2017-3,17.747826086956522,
2017-4,12.089915966386554,
2017-5,14.544915254237289,
2017-6,9.178181818181818,
2017-8,11.862499999999999,
2017-9,12.746017699115043,
2018-1,20.229,
2018-10,16.951666666666668,
2018-11,18.973584905660378,
2018-12,20.08607594936709,
2018-2,18.6013698630137,
2018-3,9.335849056603774,
2018-4,12.4,
2018-5,7.915384615384616,
2018-6,10.585416666666665,
2018-8,12.72,
2018-9,14.471014492753623,
2019-1,15.733333333333333,
2019-10,13.184444444444443,
2019-11,24.915,
2019-12,12.132,
2019-2,8.642222222222221,
2019-3,10.352272727272727,
2019-4,11.87857142857143,
2019-5,6.312676056338028,
2019-6,7.8,
2019-8,7.864583333333333,
2019-9,9.551111111111112,
2020-1,20.718072289156627,
2020-10,26.023423423423424,
2020-11,21.59655172413793,
2020-12,22.751515151515154,
2020-2,17.33116883116883,
2020-3,7.473076923076923,
2020-4,7.595774647887323,
2020-5,11.4484375,
2020-6,12.35,
2020-8,13.025,
2020-9,20.577464788732396,
2021-1,13.569014084507042,
2021-10,14.476190476190476,
2021-11,19.318840579710145,
2021-12,26.858695652173914,
2021-2,12.639999999999999,
2021-3,10.123684210526315,
2021-4,10.365573770491803,
2021-5,13.379999999999999,
2021-6,8.046938775510204,
2021-8,12.552,
2021-9,12.02727272727273,
2022-1,14.882758620689655,
2022-2,18.48076923076923,
2022-3,14.427118644067797,
2022-4,12.741666666666667,
