Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
10/12/21,08:00,060374004,South Long Beach,-8,UG/M3,South Coast AQMD,18.8,
10/12/21,09:00,060374004,South Long Beach,-8,UG/M3,South Coast AQMD,14.4,
10/12/21,10:00,060374004,South Long Beach,-8,UG/M3,South Coast AQMD,14.1,
10/12/21,11:00,060374004,South Long Beach,-8,UG/M3,South Coast AQMD,11.7,
10/12/21,12:00,060374004,South Long Beach,-8,UG/M3,South Coast AQMD,10.5,
10/12/21,13:00,060374004,South Long Beach,-8,UG/M3,South Coast AQMD,11.2,
10/12/21,14:00,060374004,South Long Beach,-8,UG/M3,South Coast AQMD,13.4,
