Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
03/03/15,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.0,16.0
03/03/15,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,8.0,10.0
03/03/15,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,6.0,10.0
03/03/15,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,11.0
03/03/15,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,2.0,13.0
03/03/15,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,14.0
03/03/15,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,5.0,14.0
03/03/15,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,3.0,18.0
