Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
06/01/18,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.0,43.0
06/01/18,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.0,45.0
06/01/18,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.0,20.0
06/01/18,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.0,28.0
06/01/18,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,13.0,25.0
06/01/18,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.0,35.0
06/01/18,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.0,32.0
06/01/18,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,18.0,30.0
