Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
05/24/17,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.0,24.0
05/24/17,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,15.0,26.0
05/24/17,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,16.0,22.0
05/24/17,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,17.0,25.0
05/24/17,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,20.0,29.0
05/24/17,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,23.0,43.0
05/24/17,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,22.0,43.0
05/24/17,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,30.0,59.0
