YearMonth,PM2.5,PM10
2014-1,20.895522388059703,44.25373134328358
2014-10,18.864197530864196,40.98876404494382
2014-11,12.0,33.25806451612903
2014-12,16.375,28.254716981132077
2014-2,18.73109243697479,35.67226890756302
2014-3,17.49074074074074,38.611111111111114
2014-4,18.453125,32.176923076923075
2014-5,18.37956204379562,31.630434782608695
2014-6,26.0,33.9
2014-8,17.835616438356166,29.136986301369863
2014-9,21.478571428571428,36.44055944055944
2015-1,13.440860215053764,29.79310344827586
2015-10,15.127659574468085,34.99295774647887
2015-11,9.011494252873563,32.06
2015-12,,34.168067226890756
2015-2,27.288659793814432,44.23232323232323
2015-3,15.3671875,32.646153846153844
2015-4,16.572413793103447,32.15172413793103
2015-5,16.741176470588236,28.72093023255814
2015-6,18.44871794871795,29.346153846153847
2015-8,23.363636363636363,41.36363636363637
2015-9,16.155844155844157,33.093333333333334
2016-1,13.797297297297296,29.869230769230768
2016-10,9.92361111111111,31.52413793103448
2016-11,12.473214285714286,37.075471698113205
2016-12,17.169014084507044,38.205882352941174
2016-2,10.154838709677419,29.89677419354839
2016-3,16.453125,36.328125
2016-4,12.577319587628866,35.618556701030926
2016-5,13.623076923076923,30.015384615384615
2016-8,15.839285714285714,36.625
2016-9,13.224137931034482,38.12931034482759
2017-1,10.161016949152541,20.443396226415093
2017-10,16.666666666666668,45.735632183908045
2017-11,17.42105263157895,39.36538461538461
2017-12,15.851851851851851,51.77777777777778
2017-2,9.74766355140187,19.754901960784313
2017-3,15.054347826086957,29.119565217391305
2017-4,12.165413533834586,28.26050420168067
2017-5,15.74561403508772,31.83050847457627
2017-6,20.277358490566037,31.979591836734695
2017-8,20.875,36.541666666666664
2017-9,17.169642857142858,31.221238938053098
2018-1,16.524752475247524,38.277227722772274
2018-10,21.116666666666667,42.1
2018-11,17.18867924528302,42.43396226415094
2018-12,13.075949367088608,30.696202531645568
2018-2,18.760563380281692,39.19178082191781
2018-3,12.5,23.78181818181818
2018-4,18.0,36.326530612244895
2018-5,13.377358490566039,27.37735849056604
2018-6,19.56578947368421,39.55263157894737
2018-8,17.928571428571427,35.666666666666664
2018-9,18.08823529411765,40.51470588235294
2019-1,16.6,34.74285714285714
2019-10,12.266666666666667,36.22222222222222
2019-11,21.275,37.85
2019-12,12.56,25.92
2019-2,8.0,16.22222222222222
2019-3,12.181818181818182,28.84090909090909
2019-4,10.928571428571429,27.142857142857142
2019-5,10.845070422535212,22.514285714285716
2019-6,22.0,51.0
2019-8,15.333333333333334,28.25
2019-9,13.108108108108109,33.92307692307692
2020-1,14.734939759036145,30.240963855421686
2020-10,22.46846846846847,47.04504504504504
2020-11,17.272727272727273,39.48863636363637
2020-12,12.793814432989691,43.58585858585859
2020-2,15.675675675675675,40.03896103896104
2020-3,6.846153846153846,18.53846153846154
2020-4,7.086206896551724,15.96551724137931
2020-5,10.694915254237289,26.396825396825395
2020-6,12.583333333333334,31.166666666666668
2020-8,17.125,32.875
2020-9,23.47887323943662,43.225352112676056
2021-1,10.128571428571428,23.671641791044777
2021-10,8.380952380952381,46.0
2021-11,21.936507936507937,36.46875
2021-12,15.673913043478262,30.217391304347824
2021-2,13.283333333333333,29.233333333333334
2021-3,7.2631578947368425,17.723684210526315
2021-4,13.475409836065573,26.39344262295082
2021-5,16.25,28.15625
2021-6,12.938775510204081,23.79591836734694
2021-8,13.84,26.6
2021-9,13.818181818181818,32.52272727272727
2022-1,9.436363636363636,23.103448275862068
2022-10,14.473493975903613,32.083333333333336
2022-11,12.841176470588236,31.217391304347824
2022-12,8.373684210526315,21.625
2022-2,9.301960784313724,31.576923076923077
2022-3,13.005454545454544,33.689655172413794
2022-4,11.752777777777778,27.47222222222222
2022-5,13.84875,31.950617283950617
2022-6,16.7,37.18181818181818
2022-8,11.690196078431374,27.03921568627451
2022-9,12.821212121212122,30.205882352941178
2023-1,6.928395061728396,16.621951219512194
2023-10,10.63132530120482,28.204819277108435
2023-11,9.351282051282052,32.84615384615385
2023-12,12.395774647887324,27.211267605633804
2023-2,8.992307692307692,17.576923076923077
2023-3,8.445454545454545,13.781818181818181
2023-4,17.05873015873016,28.015873015873016
2023-5,6.8999999999999995,12.528301886792454
2023-6,,17.608695652173914
2023-8,13.069230769230769,25.153846153846153
2023-9,12.58409090909091,27.541176470588237
2024-1,14.489763779527559,20.992125984251967
2024-10,14.27142857142857,29.408163265306122
2024-11,12.054385964912282,28.42105263157895
2024-12,15.627868852459015,33.77049180327869
2024-2,8.459574468085107,12.808510638297872
2024-3,8.142253521126761,18.6056338028169
2024-4,11.449180327868852,20.721311475409838
2024-5,11.75609756097561,22.609756097560975
2024-6,16.481632653061226,22.142857142857142
2024-8,11.816666666666668,22.666666666666668
2024-9,13.78061224489796,26.959183673469386
