Date,Time,SiteCode,Location,Timezone,Unit,Agency,PM2.5,PM10
02/25/15,08:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,14.0,32.0
02/25/15,09:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,10.0,32.0
02/25/15,10:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,11.0,32.0
02/25/15,11:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,28.0
02/25/15,12:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.0,28.0
02/25/15,13:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,9.0,30.0
02/25/15,14:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,7.0,28.0
02/25/15,15:00,060371103,Los Angeles - N. Mai,-8,UG/M3,South Coast AQMD,4.0,34.0
