YearWeek,PM2.5,PM10
2014-1,14.0,38.375
2014-10,17.78125,32.9375
2014-11,14.6,33.53333333333333
2014-12,18.157894736842106,44.71052631578947
2014-13,24.0,51.375
2014-14,7.0,17.8125
2014-15,19.525,32.4
2014-16,26.5,43.46666666666667
2014-17,23.3125,39.3125
2014-18,17.473684210526315,36.26315789473684
2014-19,16.161290322580644,32.41935483870968
2014-2,29.0625,53.625
2014-20,13.518518518518519,35.666666666666664
2014-21,15.075,25.35
2014-22,28.75,32.666666666666664
2014-23,38.0,53.0
2014-24,24.666666666666668,31.77777777777778
2014-3,14.5,37.3421052631579
2014-34,14.676470588235293,22.08823529411765
2014-35,20.58974358974359,35.282051282051285
2014-36,21.3125,30.9375
2014-37,23.0,37.4
2014-38,24.85185185185185,44.206896551724135
2014-39,17.384615384615383,34.30769230769231
2014-4,17.181818181818183,44.18181818181818
2014-40,19.90909090909091,36.45454545454545
2014-41,17.571428571428573,38.714285714285715
2014-42,14.764705882352942,39.28
2014-43,21.705882352941178,43.35294117647059
2014-44,16.647058823529413,39.411764705882355
2014-45,10.928571428571429,34.07142857142857
2014-46,17.444444444444443,34.611111111111114
2014-47,11.837837837837839,35.483870967741936
2014-48,9.433333333333334,29.766666666666666
2014-49,9.708333333333334,15.041666666666666
2014-5,27.576923076923077,46.5
2014-50,19.939393939393938,31.02857142857143
2014-51,15.425,30.475
2014-52,27.857142857142858,47.0
2014-6,14.363636363636363,26.848484848484848
2014-7,15.8125,37.125
2014-8,25.75,51.53125
2014-9,17.842105263157894,29.36842105263158
2015-1,27.4,48.4
2015-10,8.578947368421053,20.4
2015-11,20.894736842105264,43.31578947368421
2015-12,17.026315789473685,37.921052631578945
2015-13,14.285714285714286,24.357142857142858
2015-14,18.625,39.125
2015-15,13.03225806451613,22.516129032258064
2015-16,18.96153846153846,45.46153846153846
2015-17,15.975,24.75
2015-18,19.425,38.6
2015-19,14.7,24.533333333333335
2015-2,10.88,30.57894736842105
2015-20,10.375,24.75
2015-21,10.545454545454545,24.545454545454547
2015-22,20.535714285714285,30.620689655172413
2015-23,17.44736842105263,31.526315789473685
2015-24,19.4,27.275
2015-3,17.285714285714285,30.142857142857142
2015-34,24.54054054054054,40.361111111111114
2015-35,23.36,43.38461538461539
2015-36,11.7,29.3
2015-37,18.914285714285715,38.34285714285714
2015-38,11.875,22.25
2015-39,19.4,38.625
2015-4,19.11764705882353,39.0
2015-40,17.53846153846154,39.94285714285714
2015-41,15.0,31.142857142857142
2015-42,15.125,27.041666666666668
2015-43,14.685714285714285,31.885714285714286
2015-44,14.289473684210526,43.17948717948718
2015-45,8.846153846153847,25.53846153846154
2015-46,11.0625,36.59375
2015-47,5.3125,40.0
2015-48,,27.28125
2015-49,,33.1578947368421
2015-5,10.128205128205128,22.94871794871795
2015-50,,48.81818181818182
2015-51,,23.825
2015-52,,28.1875
2015-6,35.629629629629626,55.592592592592595
2015-7,7.1,20.5
2015-8,53.72727272727273,69.72727272727273
2015-9,11.368421052631579,28.475
2016-1,,22.15
2016-10,9.689655172413794,25.75862068965517
2016-11,16.225,38.35
2016-12,14.84375,34.9375
2016-13,8.5,28.5625
2016-14,16.833333333333332,37.2
2016-15,10.75,32.3125
2016-16,11.071428571428571,36.5
2016-17,10.206896551724139,34.310344827586206
2016-18,14.475,36.125
2016-19,15.65,28.975
2016-2,19.416666666666668,37.142857142857146
2016-20,12.435897435897436,27.23076923076923
2016-21,7.363636363636363,21.454545454545453
2016-3,17.68,32.92
2016-34,15.5625,36.53125
2016-35,17.4375,38.0625
2016-36,13.481481481481481,36.074074074074076
2016-37,11.285714285714286,29.857142857142858
2016-38,16.347826086956523,42.91304347826087
2016-39,10.486486486486486,40.513513513513516
2016-4,9.35135135135135,30.64864864864865
2016-40,9.55,38.2
2016-41,12.15625,30.78125
2016-42,8.487179487179487,31.205128205128204
2016-43,10.166666666666666,25.4
2016-44,9.411764705882353,30.055555555555557
2016-45,18.5,41.7
2016-46,13.875,47.525
2016-47,10.375,25.264705882352942
2016-48,13.041666666666666,33.416666666666664
2016-49,19.86111111111111,44.25
2016-5,6.578947368421052,22.86842105263158
2016-50,17.266666666666666,30.583333333333332
2016-51,9.0,31.75
2016-6,9.75,33.25
2016-7,9.96875,27.40625
2016-8,11.578947368421053,31.789473684210527
2016-9,32.0,56.15384615384615
2017-1,10.775,22.542857142857144
2017-10,11.971428571428572,27.285714285714285
2017-11,29.90909090909091,48.68181818181818
2017-12,8.4,7.1
2017-13,9.0,24.0
2017-14,14.947368421052632,38.125
2017-15,11.275,26.475
2017-16,11.08108108108108,20.91891891891892
2017-17,10.5,34.166666666666664
2017-18,17.31578947368421,33.8421052631579
2017-19,17.083333333333332,33.416666666666664
2017-2,8.615384615384615,14.741935483870968
2017-20,12.037037037037036,33.354838709677416
2017-21,14.875,28.09375
2017-22,18.892500000000002,32.717948717948715
2017-23,21.529411764705884,31.470588235294116
2017-24,15.666666666666666,
2017-3,13.15,26.94736842105263
2017-33,17.0,33.42857142857143
2017-34,20.0,28.25
2017-35,24.666666666666668,46.333333333333336
2017-36,18.125,29.65
2017-37,15.307692307692308,26.35
2017-38,16.428571428571427,34.42857142857143
2017-39,21.333333333333332,47.083333333333336
2017-4,8.894736842105264,19.476190476190474
2017-40,20.333333333333332,42.666666666666664
2017-41,23.818181818181817,51.45454545454545
2017-42,19.263157894736842,49.26315789473684
2017-43,10.962962962962964,45.74074074074074
2017-44,11.263157894736842,21.0625
2017-45,12.666666666666666,30.0
2017-46,20.5,44.3
