School,Street Address,Street Zip,Latitude,Longitude
Animo Compton Charter,13305 South San Pedro St.,90061-2254,33.911229,-118.270067
Barack Obama Charter,13305 South San Pedro St.,90061-2254,33.91079,-118.270333
Bunche Middle,12338 Mona Blvd.,90220-1320,33.920727,-118.228291
Bursch Elementary,2505 West 156th St.,90220-2640,33.891251,-118.255734
Caldwell Street Elementary,2300 West Caldwell St.,90220-4116,33.883151,-118.250703
Carver Elementary,1425 East 120th St.,90059-2418,33.923794,-118.250038
Centennial High,2606 North Central Ave.,90222-1640,33.915421,-118.254288
Cesar Chavez Continuation High,15301 San Jose Ave.,90221-3131,33.893596,-118.181862
"Clinton, William Jefferson",6500 Compton Blvd.,90221-3181,33.89534,-118.18284
Compton Academy of Technology and Innovation High,1200 East Alondra Blvd.,90221-4306,33.888212,-118.209702
Compton Adult,1104 East 148th St.,90222,33.898131,-118.254814
Compton Community Day High,2300 West Caldwell St.,90220-4116,33.88322,-118.249644
Compton Community Day Middle,2300 West Caldwell St.,90220-4116,33.88322,-118.249644
Compton Early College High,2601 North Wilmington Ave.,90222-2004,33.915392,-118.240676
Compton High,1200 East Alondra Blvd.,90221-3702,33.8874,-118.210629
Compton Middle Opportunity,"2300 West Caldwell St., Bldg. A",90220-4116,33.88304,-118.249473
Compton Performing Arts Academy,700 N. Bullis Rd,90094-2209,33.900703,-118.206332
Compton STEP,417 West Alondra Blvd.,90220-4638,33.888995,-118.228586
Compton Virtual Academy,2300 West Caldwell St.,90220-4116,33.882911,-118.249247
Davis Middle,621 West Poplar St.,90220-1927,33.900077,-118.234543
Dickison Elementary,905 North Aranbe St.,90220-2023,33.902043,-118.232334
Eko Multi-Purpose Center,403 South Santa Fe Ave.,90224-3243,33.89324,-118.216201
Emerson Elementary,1011 East Caldwell St.,90221-4340,33.884559,-118.211947
Enterprise Middle,2600 West Compton Blvd.,90220-1324,33.895316,-118.25852
Epiphany Academy,302 North Long Beach Blvd.,90221-2869,33.8977,-118.207728
Foster Elementary,1620 North Pannes St.,90221-1734,33.905999,-118.20296
Frances Willard Elementary,310 East El Segundo Blvd.,90222-2315,33.916191,-118.22288
Harriet Tubman High,12501 North Wilmington,90220,33.919243,-118.239629
Ingenium Clarion Charter Middle,13305 South San Pedro St.,90061-2254,33.911229,-118.270067
Ingenium Wings Independent Study - Compton,400 South Santa Fe Ave.,90221-3244,33.893146,-118.215427
ISANA Achernar Academy,310 East El Segundo Blvd.,90222-2315,33.915886,-118.222584
Jefferson Elementary,2508 East 133rd St.,90222-2723,33.911459,-118.225205
Kelly Elementary,2320 East Alondra Blvd.,90221-4202,33.888687,-118.198061
KIPP Compton Community,1650 West 134th St.,90222-1624,33.910595,-118.251419
Laurel Street Elementary,1321 West Laurel St.,90220-2801,33.892823,-118.245323
Lifeline Education Charter,225 South Santa Fe Ave.,90221-3240,33.894634,-118.216078
Lincoln Elementary,1667 East 118th St.,90059-2515,33.92599,-118.244414
Longfellow Elementary,1101 South Dwight St.,90220-4496,33.88579,-118.240943
Los Angeles Adventist Academy,846 East El Segundo Blvd.,90059-3310,33.916331,-118.259769
Los Angeles Computer Science Academy,2201 E 118Th St.,90059-2613,33.926231,-118.233423
Mandela Children's Learning Village,531 W Tichenor St.,90220-4663,33.886038,-118.232812
Manuel Dominguez High,15301 South San Jose Ave.,90221-3131,33.89383,-118.18237
Martin Luther King Elementary,2270 East 122nd St.,90222-1304,33.921168,-118.232234
Mayo Elementary,915 North Mayo Ave.,90221-2112,33.902366,-118.213026
McKinley Elementary,14431 Stanford Ave.,90220-1128,33.900643,-118.26164
OPTIMAL CHRISTIAN ACADEMY,1300 E. Palmer St.,90221-2810,33.898078,-118.209373
Our Lady of Victory Catholic School,601 East Palmer St.,90221-2615,33.898637,-118.216889
Ralph Bunche Elementary,16223 South Haskins Ln.,90746-1021,33.88383,-118.260933
Red Star,5005 Venice Blvd,90019-5309,34.046077,-118.346772
Robert F. Kennedy Elementary,1305 South Oleander St.,90220-4646,33.884149,-118.227997
Ronald E. McNair Elementary,1450 West El Segundo Ave.,90222-1145,33.916186,-118.247509
Roosevelt Elementary,700 North Bradfield Ave.,90221-2307,33.900281,-118.204028
Roosevelt Middle,1200 East Alondra Blvd.,90221-4306,33.888509,-118.209904
Rosecrans Elementary,1301 North Acacia Ave.,90227-4001,33.904663,-118.22835
St. Albert the Great Elementary School,804 East Compton Blvd.,90220-1106,33.894528,-118.261792
Thurgood Marshall,15301 San Jose Ave.,90221-3131,33.89361,-118.181885
Tibby Elementary,1400 West Poplar St.,90220-1537,33.899873,-118.246677
Today's Fresh Start-Compton,4476 Crenshaw Blvd.,90043-1208,34.002873,-118.330295
Vanguard Learning Center,13305 South San Pedro St.,90061-2254,33.910884,-118.269698
Walton Middle,900 West Greenleaf Ave.,90220-5101,33.880636,-118.23851
Washington Elementary,1421 North Wilmington Ave.,90222-3406,33.906029,-118.238733
Whaley Middle,14401 South Gibson Ave.,90221-2514,33.902752,-118.189547
Willowbrook Middle,2601 North Wilmington Ave.,90222-2004,33.915621,-118.239244
Wonderland Angels Early Learning Center,15208 South Avalon Blvd,90220-2517,33.893927,-118.264944
Compton Unified ROP,700 North Bullis Rd.,90221-2209,33.89036,-118.206172
Culver City Adult,4909 Overland Ave.,90230,34.008011,-118.397503
Culver City High,4401 Elenda St.,90230-4101,34.007671,-118.402076
Culver City Independent Study,5303 Berryman Ave.,90230,33.992816,-118.400225
Culver City Middle,4601 Elenda St.,90230-4103,34.007036,-118.401019
Culver City Unified School District iAcademy,"4601 Elenda St., CP Annex",90230,34.021122,-118.396467
Culver Park High,4601 Elenda St.,90230-4103,34.006644,-118.40103
ECF Kayne Eras Center,5350 Machado Rd.,90230-0230,33.99784,-118.396726
Echo Horizon School,3430 McManus Ave.,90232-7407,34.028707,-118.378304
El Marino Elementary,11450 Port Rd.,90230-5346,33.992306,-118.401901
